id;sentiment;text_tweet;text_clean
145;positive;Alhamdulillah sambil nunggu subuh bisa melihat lantunan Adhan Styles dari Mekah dan Madinah dengan jelas karena paket Internet <PROVIDER_NAME> saya bagus;alhamdulillah nunggu subuh lantun adhan style mekah madinah paket internet bagus
146;positive;Dengan <PROVIDER_NAME> juga bisa lihat youtube selama setahun tanpa kuota, makin keren aja. ;lihat youtube tahun kuota keren
147;positive;Dengan jaringan 4G super cepat dari <PROVIDER_NAME> smartphone kamu terus terkoneksi dan bisa pantau aktivitas di sosial media :;jaring super cepat smartphone koneksi pantau aktivitas sosial medium
148;positive;Menggunakan medsos harus sebijak mungkin. Apalagi ada fasilitas makin oke kayak FB gratis 30MB & free YouTube/Yonder/Genflix dari <PROVIDER_NAME>;medsos bijak fasilitas kayak gratis free youtubeyondergenflix
149;positive;pagi itu, menyegarkan mata selain lari2 kecil, bisa juga dengan nikmatin internet, atau nelpon yang super murah, suara jernih pake <PROVIDER_NAME>. gitu!;pagi segar mata lari nikmatin internet nelpon super murah suara jernih pake gitu
150;positive;Buka puasa sambil streaming di YouTube lancar banget pake <PROVIDER_NAME>, jadi makin setia sama <PROVIDER_NAME>.;buka puasa streaming youtube lancar banget pake setia
151;positive;Selain jaringan 4G <PROVIDER_NAME> yang sangat luas temanku juga bisa nelpon ke operator lain secara gratis & suaranya juga jernih banget;jaring luas teman nelpon operator gratis suara jernih banget
152;positive;Koneksi internet <PROVIDER_NAME> yg lancar sangat  membantu saya dalam menyelesaikan pekerjaaan di hari Jumat sebelum weekend.;koneksi internet lancar bantu selesai pekerjaaan jumat weekend
153;negative;ayo penuhi viralkan keras #Boikot<PROVIDER_NAME>! Nomor sy nomer <PROVIDER_NAME> cantik dr th2007 lgsg sy buang!Jgn main2 dg umat Islam yg brsatu;penuh viralkan kera nomor nomer cantik lgsg buangjgn main umat islam brsatu
154;negative;AYO BUANG KARTU <PROVIDER_NAME> ! #Ruh212 <URL>;buang kartu
155;negative;Selama ini saya pake <PROVIDER_NAME>, Insya Allah setelah paket yang sekarang kuotanya habis saya akan ganti operator lain #Boikot<PROVIDER_NAME>;pake insya allah paket kuota habis ganti operator
156;negative;CEO <PROVIDER_NAME> harus bertanggung jawab. Sudah ada counter perdana HP berhenti jual perdana <PROVIDER_NAME> #Boikot<PROVIDER_NAME>;tanggung counter perdana henti jual perdana
157;negative;Biar jadi pelajaran buat yang lain... Saya tidak akan pernah pakai produk <PROVIDER_NAME>!!! #Boikot<PROVIDER_NAME>;biar ajar pakai produk
158;negative;kenapa pada boikot <PROVIDER_NAME> ya #Boikot<PROVIDER_NAME> mungkin karena sering nyedot pulsa ga tau dipake apa, sms 1 bayar 1000 cuma buat bonus maksa;boikot nyedot pulsa dipake bayar bonus maksa
159;positive;Lumayan #Speedtest Jaringan 4G/LTE <PROVIDER_NAME> Area Tarogong #Garut cukup memuaskan <PROVIDER_NAME> <URL>;lumayan jaring glte area tarogong muas
160;negative;Uji kecepatan <PRODUCT_NAME> #opensignal-ku di <PROVIDER_NAME> 3G <PROVIDER_NAME> disini jelek;cepat jelek
161;negative;Tolong di urus segera saya ga mau bayar data yang saya ga dapet datanya <PROVIDER_NAME> <PROVIDER_NAME>;tolong urus bayar data dapet data
162;positive;Nonton gratis dibayarin <PROVIDER_NAME> poin  <PROVIDER_NAME> <PROVIDER_NAME>poin #passengers…;nonton gratis dibayarin poin poin
163;positive;Makasih ya <PROVIDER_NAME> gratis 4Gnya ayo buruan upgrade <PRODUCT_NAME> mu;makasih gratis gnya buru upgrade
164;positive;Makan malam gratis hari ini hasil tuker <PROVIDER_NAME> Poin  #7eleven #sevel <PROVIDER_NAME>… <URL>;makan malam gratis hasil tuker poin
165;negative;Mohon di up jaringan 4G di wilayah Morowali, sangat buruk..  <PROVIDER_NAME> <PROVIDER_NAME>;mohon jaring wilayah morowali buruk
166;negative;Jaringan <PROVIDER_NAME> di Waru Atas arae Site WKP tidak dapat digunakan untuk telpon mohon cek Team <PROVIDER_NAME> ;jaring waru arae site telpon mohon team
167;negative;Semakin hari kualitas dan pelayanannya semakin buruk. Selama 5 bulan melakukan pelaporan namun tidak ada tindakan perbaikan. <PROVIDER_NAME>;kualitas layan buruk lapor tindak baik
168;negative;<PROVIDER_NAME> tolong jaringan di MUARA KAMAN diperbaiki... BBM aja ga bisa ngakses...menyambungkan melulu... sudah 3 minggu lebih;tolong jaring muara kam baik ngaksesmenyambungkan melulu minggu
169;negative;Uji kecepatan NYATA  di <PROVIDER_NAME> 3G <PROVIDER_NAME> disini jelek;cepat nyata jelek
170;negative;Tolong diurus segera saya ga mau bayar data yang saya ga dapat datanya <PROVIDER_NAME> <PROVIDER_NAME>;tolong urus bayar data data
171;positive;Lumayan #Speedtest Jaringan 4G/LTE <PROVIDER_NAME> Area Tarogong #Garut cukup memuaskan <PROVIDER_NAME> <URL> ;lumayan jaring glte area tarogong muas
172;positive;Terimakasih ya <PROVIDER_NAME> gratis 4Gnya ayo buruan upgrade <PRODUCT_NAME>;terimakasih gratis gnya buru upgrade
173;positive;Makan malam gratis hari ini hasil tukar <PROVIDER_NAME> Poin   <PROVIDER_NAME>… <URL>;makan malam gratis hasil tukar poin
174;negative;ayo viralkan keras #Boikot<PROVIDER_NAME>! Nomor saya nomer <PROVIDER_NAME> cantik dari tahun 2007 saya buang! Jangan main2 dengan umat Islam yang brsatu;viralkan kera nomor nomer cantik buang main umat islam brsatu
175;negative;AYO BUANG KARTU <PROVIDER_NAME> ! #Ruh212 ;buang kartu
176;negative;Selama ini saya pakai <PROVIDER_NAME>, Insya Allah setelah paket yang sekarang kuotanya habis saya akan ganti operator lain #Boikot<PROVIDER_NAME> ;pakai insya allah paket kuota habis ganti operator
177;negative;kenapa pada boikot <PROVIDER_NAME> ya #Boikot<PROVIDER_NAME> mungkin karena sering menyedot pulsa ga tau dipake apa, sms 1 bayar 1000 cuma buat bonus maksa;boikot sedot pulsa dipake bayar bonus maksa
178;positive;Buka puasa sambil streaming di YouTube lancar banget pakai <PROVIDER_NAME>, jadi makin setia sama <PROVIDER_NAME>.;buka puasa streaming youtube lancar banget pakai setia
179;positive;Koneksi internet <PROVIDER_NAME> yang lancar sangat  membantu saya dalam menyelesaikan pekerjaaan di hari Jumat sebelum weekend.;koneksi internet lancar bantu selesai pekerjaaan jumat weekend
180;negative;<PROVIDER_NAME> kamu kenapa sinyalnya php <PROVIDER_NAME>;sinyal
181;negative;Koneksi internet yang sangat menjengkelkan. <PROVIDER_NAME>  #lemot ;koneksi internet jengkel
182;positive;<PROVIDER_NAME> Nelpon lebih murah pake JS, kurang dari Rp1/detik. <PROVIDER_NAME> <PRODUCT_NAME> <PRODUCT_NAME>;nelpon murah pake rpdetik
183;positive;Terima kasih PT <PROVIDER_NAME> , kiriman GRATIS <PROVIDER_NAME> Home-nya sudah tiba.;terima kasih kirim gratis homenya
184;positive;Kualitas sinyal 4G <PROVIDER_NAME> ikut melengkapi meriahnya festival tersebut. ;kualitas sinyal lengkap riah festival
185;positive;saya pindah ke <PROVIDER_NAME> yang memang sudah terbukti;pindah bukti
186;negative;Ini sinyal H+ palsu. Seperti H+ rasa edge. <PROVIDER_NAME> <PROVIDER_NAME> ;sinyal palsu edge
187;negative;Pelanggan <PROVIDER_NAME> <PROVIDER_NAME> yg ada di area #Pandeglangkota dirugikan krn jaringan telponnya rusak dan tidak diperbaiki;langgan area rugi jaring telpon rusak baik
188;negative; Hati-hati Tukang Tipu!! <PROVIDER_NAME>;hatihati tukang tipu
189;negative;Sedih. Pakai <PROVIDER_NAME> 4G gak stabil.;sedih pakai stabil
190;negative;Jarigan <PROVIDER_NAME> lelet. Karena gangguan atau rusak ya;jarigan lelet ganggu rusak
191;negative;Daerah Jagakarsa, pakai <PROVIDER_NAME> sinyalnya jelek, yang satu H+ gak dapat 4G, yang satu dapat 4G tapi gak ada sinyal?;daerah jagakarsa pakai sinyal jelek sinyal
192;negative;<PROVIDER_NAME> cacat;cacat
193;positive;Ini baru #koneksi #internet #4g <PROVIDER_NAME> <URL> ;
194;positive;<PROVIDER_NAME> BagiBerkah ...gak ada kata susah ..cukup sekali sentuh jadi mudah dan berfaedah;bagiberkah susah sentuh mudah faedah
195;negative;<PROVIDER_NAME> tumbang di kota Semarang;tumbang kota semarang
196;negative;Kuotaku masih banyak internetan aja gak bisa <PROVIDER_NAME> <PROVIDER_NAME>Care <PROVIDER_NAME> ;kuota internetan care
197;negative;Selalu Lemot <PROVIDER_NAME>;lot
198;positive;<PROVIDER_NAME> BerbagiBerkah karena berbagi itu menyenangkan apalagi sama orang yang kita sayangi.;berbagiberkah bagi senang orang sayang
199;positive;Santai pakai <PROVIDER_NAME> <PROVIDER_NAME>4G <PROVIDER_NAME>BagiBerkah bisa diandalkan;santai pakai bagiberkah andal
200;positive;banyak yang masih setia memggunakan <PROVIDER_NAME>;setia memggunakan
201;positive;Yang saya pengen <PROVIDER_NAME> selangkah lebih maju dari yang lain baik layanan ataupun jaringan 3G atau 4G,;ken selang maju layan jaring
202;positive;Yuk pakai <PROVIDER_NAME> Rp1 gratis 1GB;pakai gratis
203;positive;Lebaran tetap pakai <PROVIDER_NAME> yaa #Rp1 gratis 1GB;lebaran pakai gratis
204;positive;sinyal 4G <PROVIDER_NAME> dipalembang lancar;sinyal dipalembang lancar
205;positive;Keren di rembang ada sinyal 4G <PROVIDER_NAME>;keren rembang sinyal
206;positive;sinyal <PROVIDER_NAME> kuat banget;sinyal kuat banget
207;positive;4G <PROVIDER_NAME> dapat banget disini;banget
208;positive;Berkat <PROVIDER_NAME> mudiknya jd nyaman,mampir ke posko pun senang..;berkat mudik nyamanmampir posko senang
209;positive;Terimakasih <PROVIDER_NAME>;terimakasih
210;positive;untungnya sudah pakai <PROVIDER_NAME>;untung pakai
211;positive;Alhamdulillah masih #setia dengan <PROVIDER_NAME>.. terbaik;alhamdulillah baik
212;positive;<PROVIDER_NAME> memang jauh lebih murah dari <PROVIDER_NAME>, banyak bonusnya lagi;murah bonus
213;negative;RT <USER_MENTION>: Buat <PROVIDER_NAME> setelah kuota habis saya mau ganti provider  ;kuota habis ganti provider
214;negative;<PROVIDER_NAME> memang jancok! sinyal payah;jancok sinyal payah
215;negative;saya paling tidak pernah pakai  <PROVIDER_NAME>;pakai
216;negative;RT <USER_MENTION>: Belum ada permintaan maaf dan pernyataan apapun?  Lanjut boikot <PROVIDER_NAME> #Boikot<PROVIDER_NAME> <URL>;minta maaf nyata apa boikot
217;negative;<PROVIDER_NAME> masa kuota malam saya sudah habis duluan? Logikanya dimana? <URL>;kuota malam habis duluan logika mana
218;negative;RT <USER_MENTION>: <PROVIDER_NAME> ini <PROVIDER_NAME> di sini jaringan 4G nya penuh, cuma ga mau konek ke internet...;jaring penuh konek internet
219;positive;Sinyal 4g nya stabil nih. mantap <PROVIDER_NAME> <URL>;sinyal stabil mantap
220;negative;Fungsinya data lokal, 4G sama Flash apa? Toh mau 4G atau 3G yang terpakai duluan data lokalnya. mahal lagi. <PROVIDER_NAME>;fungsi data lokal flash pakai duluan data lokal mahal
221;positive;Hore, dapat makan malam gratis hari ini karena <PROVIDER_NAME> Poin  #7eleven #sevel <PROVIDER_NAME>… <URL>;hore makan malam gratis poin
222;negative;Wajar saja <PROVIDER_NAME> dihack, harga mahal banget dan koneksi lambat lagi <PROVIDER_NAME>mahal <PROVIDER_NAME> ;wajar dihack harga mahal banget koneksi lambat mahal
223;positive;*ganti* paket <PROVIDER_NAME>  5Gb langsung lancar dan #TransaksiNormal;ganti paket langsung lancar
224;negative;Selalu saja ada masalah #Indonesia <PROVIDER_NAME> #konsumen <USER_MENTION>;
225;positive;Alhamdulillah gratisan youtube dari <PROVIDER_NAME> pada bulan Ramadhan ini berfaedah sekali.;alhamdulillah gratis youtube ramadhan faedah
226;negative;<PROVIDER_NAME> KENAPA. sinyal hilang mulu;sinyal hilang mulu
227;negative;Data yang sama sekali tidak ada manfaatnya.  <PROVIDER_NAME> <URL> …;data manfaat
228;negative;<PROVIDER_NAME> goblok banget sih sekarang <PROVIDER_NAME> #jadimurahan ;goblok banget
229;negative;Padahal udah settingan 3G tapi kenapa kuota 3G tidak bisa dipakai malah menguras pulsa yaa? #Tanya <PROVIDER_NAME>;udah settingan kuota pakai uras pulsa
230;negative;Sudah mahal sinyalnya jelek lagi... <PROVIDER_NAME> bangsat anjing...;mahal sinyal jelek bangsat anjing
231;negative;Jeleknya jaringan internet. <PROVIDER_NAME>;jelek jaring internet
232;negative;Cuma di area Pandeglang kota.. jaringan <PROVIDER_NAME> buruk jelek. Kejadian ini sudah berlangsung sebulan lamanya. <PROVIDER_NAME>Care <PROVIDER_NAME>payah <PROVIDER_NAME> harus dihack;area pandeglang kota jaring buruk jelek jadi bulan care payah dihack
233;negative;benar2 kacau. Baru isi kuota, datanya langsung habis. <PROVIDER_NAME> ;kacau kuota data langsung habis
234;positive;<PROVIDER_NAME> ayo kamu bisa;
235;positive;Mending ngopi nyantai sambil dengar musik klasik di youtube gratis dari jaringan <PROVIDER_NAME> yang keren;mending ngopi nyantai dengar musik klasik youtube gratis jaring keren
236;positive;ada banyak fitur  dari Kartu Perdana <PROVIDER_NAME> yg udah 4.5G <PROVIDER_NAME>Youtube1tahun <PROVIDER_NAME>_Jabo <USER_MENTION>;fitur kartu perdana udah youtubetahun
237;positive;Hari minggu masuk kerja tapi gak ada yang dikerjain, ujung2nya mencari lapak terus rebahan sambil denger musik di youtube. <PROVIDER_NAME> top deh;minggu masuk kerja dikerjain ujung cari lapak rebah denger musik youtube
238;positive;Sekarang enak belanja online. Sinyal kuat dan kencang pakai <PROVIDER_NAME>. ;enak belanja online sinyal kuat kencang pakai
239;positive;Mantap! Paket <PRODUCT_NAME> dari <PROVIDER_NAME> bikin mupeng. Banyak <PRODUCT_NAME>nya! ;mantap paket bikin mupeng
240;positive;Selain bonus THR dapat bonus dari <PROVIDER_NAME> yang begini nih yang bikin hati senang juga.. ;bonus bonus bikin hati senang
241;positive;Pagi ini saya sahur di Purwakarta, dan disini sinyal <PROVIDER_NAME> nya bagus banget;pagi sahur purwakarta sinyal bagus banget
242;positive;Astaga udah sore aja. Keasyikan main hape. Sinyal lancar, hebat emang <PROVIDER_NAME>;astaga udah sore asyik main hape sinyal lancar hebat emang
243;positive;Kadang, saya juga cari referensi di youtube yang merupakan gudang informasi keren. <PROVIDER_NAME> youtube an tanpa kuota bisa streaming lancar;kadang cari referensi youtube gudang informasi keren youtube kuota streaming lancar
244;positive;belajar mengedit video di youtube jadi enak dan cepat paham kalo jaringan <PROVIDER_NAME> lancar dan kencang begini.;ajar edit video youtube enak cepat paham kalo jaring lancar kencang
245;positive;"Tethering pakai kartu <PROVIDER_NAME> sinyalnya kencang badai, apalagi kalau lagi browsing"" mencari bahan artikel. Dijamin lancar.";tethering pakai kartu sinyal kencang badai browsing cari bahan artikel jamin lancar
246;negative;Saya tidak akan pernah pakai produk <PROVIDER_NAME>!!! boikot <PROVIDER_NAME> #Boikot<PROVIDER_NAME>;pakai produk boikot
247;negative;Ayo yang masih pakai kartu <PROVIDER_NAME> Segera buang ke Got ya;pakai kartu buang
248;negative;#Boikot<PROVIDER_NAME>..saatnya hijrah ke ..selamat tinggal <PROVIDER_NAME>..;hijrah selamat tinggal
249;positive;Alhamdulillah Kuota <PROVIDER_NAME> banyak yang murah;alhamdulillah kuota murah
250;negative;Sudah tarifnya paling mahal, ditambah jaringan yang semakin hari semakin susah! <PROVIDER_NAME> mengesalkan banget ;tarif mahal tambah jaring susah kesal banget
251;negative;<PROVIDER_NAME> Pulsanya masih ada, TM masih banyak, mau nelpon ke sesama simpati katanya pulsa gak cukup, kampret ini <PROVIDER_NAME> ;pulsa nelpon simpati pulsa kampret
252;positive;Tiba-tiba ada sinyal 4g di rumahku.  Biasanya gak ada.. lancar juga. <PROVIDER_NAME>;tibatiba sinyal rumah lancar
253;negative;Tadinya berharap paling bagus untuk kerja online,Ternyata internetnya tidak seSimpati namanya <PROVIDER_NAME> <URL>;harap bagus kerja onlineternyata internetnya simpat nama
254;negative;Jaringan internet <PROVIDER_NAME> di sumba timur parah....;jaring internet sumba timur parah
255;negative;Kualitas jaringan <PROVIDER_NAME> sangat menurun di wilayah Sukabumi.;kualitas jaring turun wilayah sukabumi
256;negative;Ternyata tidak cuma saya yang mengeluh karena sinyal atau pelayanan <PROVIDER_NAME> dalam jaringan internet masih kurang;keluh sinyal layan jaring internet
257;negative;Sudah tengah malam, jaringan kok masih super lelet <PROVIDER_NAME> gak berkualitas;malam jaring super lelet kualitas
258;negative;Sinyal <PROVIDER_NAME> yang sangat menyedihkan;sinyal sedih
259;negative;<PROVIDER_NAME> makin bangsat kalau dibiarin;bangsat dibiarin
260;negative;<PROVIDER_NAME> memang bangsat gemas duh;bangsat gemas
261;negative;Signal <PROVIDER_NAME> Mentari makin lama makin memprihatinkan. Saatnya memikirkan untuk ganti kartu. Kecewa <PROVIDER_NAME>;signal mentari prihatin pikir ganti kartu kecewa
262;negative;<PROVIDER_NAME> apakah <PROVIDER_NAME> lagi gangguan di daerah kramat jati? Sumpah sudah lelet banget padahal sudah 4g ;ganggu daerah kramat jati sumpah lelet banget
263;negative;<PROVIDER_NAME> kenapa <PROVIDER_NAME> super lelet? 4g tp kecepatan 0,1 1 kb/s. gangguan atau gimana sih? ;super lelet cepat ganggu gimana
264;negative;tai <PROVIDER_NAME>;
265;negative;"Ya allah. Kalau hujan sinyal <PROVIDER_NAME> kaya lagunya Kotak ""Pelan Pelan Saja""";allah hujan sinyal kaya lagu kotak pelan pelan
266;negative;bikin kelar <PROVIDER_NAME> ;bikin kelar
267;negative;<PROVIDER_NAME> Hooq sangat tidak bermanfaat. Beli kuota bisa menonton di youtube gak perlu Hooq #rugi <PRODUCT_NAME> #kuota <PROVIDER_NAME> ;hooq manfaat beli kuota tonton youtube hooq
268;negative;<PROVIDER_NAME>  Di daerahku udah 3 hari  trouble mulu;daerah udah trouble mulu
269;negative;sisa 2 hari kuota <PROVIDER_NAME> <PROVIDER_NAME> tapi sudah dibilang habis, gimana ini!;sisa kuota bilang habis gimana
270;negative;Jaringan simpati anjir banget akhir2 ini. <PROVIDER_NAME>;jaring simpati anjir banget
271;negative;Dan terjadi lagi <PROVIDER_NAME> tai;
272;positive;Untung pakai <PROVIDER_NAME> walaupun jauh dari rumah tapi Alhamdulillah semua urusan beres.;untung pakai rumah alhamdulillah urus beres
273;negative;jaringan <PROVIDER_NAME> flash untuk daerah aceh singkil kok gak stabil <PROVIDER_NAME>;jaring flash daerah aceh singkil stabil
274;negative;<PROVIDER_NAME> tarif mahal dengan sinyal parah.;tarif mahal sinyal parah
275;negative;Jadi, sudah seminggu ini saya digangguin sama bunyi SMS dari <PROVIDER_NAME>. Ada promo, katanya.… <URL> ;minggu digangguin bunyi promo
276;negative;Oh jariangan kenapa <PROVIDER_NAME>;jariangan
277;negative;Tiap jam 12 malam ke atas hancur koneksinya <PROVIDER_NAME>;malam hancur koneksi
278;negative;Sedih saya kalau beli paket internet <PROVIDER_NAME>;sedih beli paket internet
279;positive;Hobi ngecek <PRODUCT_NAME> kali aja ada promo kuota internet buat penguna setia <PROVIDER_NAME> ternyata ada. Alhamdulillah rejeki anak biasa;hobi ngecek kali promo kuota internet penguna setia alhamdulillah rejeki anak
280;negative;<PROVIDER_NAME> setelah dihack malah tambah mahal;dihack mahal
281;negative;Jaringan lelet <PROVIDER_NAME>;jaring lelet
282;negative;<PROVIDER_NAME> lagi gangguan ya??;ganggu
283;negative;<PROVIDER_NAME> hancur jaringannya;hancur jaring
284;negative;Setiap isi pulsa belum dipakai pasti hilang mohon pejelasannya buat <PROVIDER_NAME>;pulsa pakai hilang mohon jelas
285;negative;<PROVIDER_NAME> memang bikin sebal ;bikin sebal
286;negative;4G LTE <PROVIDER_NAME> sedang bermasalah;masalah
287;negative;<PROVIDER_NAME> luar biasa parah 2 hari cuma buang2 kuota... payah <PROVIDER_NAME> <PROVIDER_NAME> <PROVIDER_NAME>;parah buang kuota payah
288;positive;koneksinya makin lancar pakai <PROVIDER_NAME> ;koneksi lancar pakai
289;positive;pakai sinyal <PROVIDER_NAME> lancar. <PROVIDER_NAME> memang yess!! ;pakai sinyal lancar yes
290;positive;Data-data kerja jadi lebih cepat dicari kalau internetnya pakai <PROVIDER_NAME>,;datadata kerja cepat cari internetnya pakai
291;positive;<PROVIDER_NAME> memang juara, dari tadi nonton Youtube kuota masih full aja XD;juara nonton youtube kuota full
292;positive;Kenikmatan yang bisa didapatkan saat menjadi pengguna <PROVIDER_NAME> adalah menonton youtube gratis selama setahun;nikmat dapat guna tonton youtube gratis tahun
293;positive;Upload file yang besar juga sangat mudah dengan <PROVIDER_NAME>. Karena jaringan internetnya sangat cepat. Alhamdulillah;upload file mudah jaring internetnya cepat alhamdulillah
294;positive;Untungnya pake <PROVIDER_NAME>, pekerjaan gua lancar :));untung pake kerja lancar
295;positive;Siang ini nyoba bonus telpon pakai kartu <PROVIDER_NAME> baru. Aman lancar jaya suaranya meski cuaca hujan.;siang nyoba bonus telpon pakai kartu aman lancar jaya suara cuaca hujan
296;positive;Pantesan lancar ya, sinyal <PROVIDER_NAME> yang 4G lancar sekali di lombok timur;pantesan lancar sinyal lancar lombok timur
297;positive;Alhamdulillah lancar pakai <PROVIDER_NAME>;alhamdulillah lancar pakai
298;positive;Untung pakai internet <PROVIDER_NAME>, lancar, jadi dapat banyak ide.;untung pakai internet lancar
299;positive;di tempat ramai seperti di lokasi wisata, <PROVIDER_NAME> tetap jaya.;ramai lokasi wisata jaya
300;negative;Sinyal <PROVIDER_NAME> amsyong d stadion gajayana;sinyal amsyong stadion gajayana
